2020-04-08 11:35:19 [INF] conf.go:91 | 配置文件加载成功！
2020-04-08 11:35:19 [INF] syncMap.go:93 | 缓存数据同步规则加载成功！
2020-04-08 11:35:19 [INF] dbPool.go:25 | 数据库连接成功！
2020-04-08 11:35:19 [INF] redisPool.go:25 | Redis连接成功！
2020-04-08 11:35:19 [INF] handler.go:22 | 任务处理线程池创建成功，最大goroutine数量：10, 任务超时时间：3E+01秒
2020-04-08 11:36:00 [INF] conf.go:91 | 配置文件加载成功！
2020-04-08 11:36:00 [INF] syncMap.go:93 | 缓存数据同步规则加载成功！
2020-04-08 11:36:00 [INF] dbPool.go:25 | 数据库连接成功！
2020-04-08 11:36:00 [INF] redisPool.go:25 | Redis连接成功！
2020-04-08 11:36:00 [INF] handler.go:22 | 任务处理线程池创建成功，最大goroutine数量：10, 任务超时时间：3E+01秒
2020-04-08 11:36:26 [INF] refreshMain.go:14 | 开始分发数据库全量同步任务...
2020-04-08 11:36:26 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_peer_info
2020-04-08 11:36:26 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_org_info
2020-04-08 11:36:26 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_cc_info
2020-04-08 11:36:26 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_peer_cc
2020-04-08 11:36:26 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_channel_info
2020-04-08 11:36:26 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_user_info
2020-04-08 11:36:26 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_orderer_info
2020-04-08 11:36:26 [INF] refreshTask.go:44 | b_peer_info, 数据开始写入缓存...
2020-04-08 11:36:26 [INF] refreshTask.go:44 | b_peer_cc, 数据开始写入缓存...
2020-04-08 11:36:26 [INF] refreshTask.go:44 | b_cc_info, 数据开始写入缓存...
2020-04-08 11:36:26 [INF] refreshTask.go:44 | b_org_info, 数据开始写入缓存...
2020-04-08 11:36:26 [INF] refreshTask.go:44 | b_channel_info, 数据开始写入缓存...
2020-04-08 11:36:26 [INF] refreshTask.go:44 | b_orderer_info, 数据开始写入缓存...
2020-04-08 11:36:26 [INF] refreshTask.go:44 | b_user_info, 数据开始写入缓存...
2020-04-08 11:36:26 [INF] refreshMain.go:21 | 数据库全量数据同步任务已全部完成
2020-04-08 11:39:04 [INF] conf.go:91 | 配置文件加载成功！
2020-04-08 11:39:04 [INF] syncMap.go:93 | 缓存数据同步规则加载成功！
2020-04-08 11:39:05 [INF] dbPool.go:25 | 数据库连接成功！
2020-04-08 11:39:05 [INF] redisPool.go:25 | Redis连接成功！
2020-04-08 11:39:05 [INF] handler.go:22 | 任务处理线程池创建成功，最大goroutine数量：10, 任务超时时间：3E+01秒
2020-04-08 11:41:44 [INF] conf.go:91 | 配置文件加载成功！
2020-04-08 11:41:44 [INF] syncMap.go:93 | 缓存数据同步规则加载成功！
2020-04-08 11:41:44 [INF] dbPool.go:25 | 数据库连接成功！
2020-04-08 11:41:44 [INF] redisPool.go:25 | Redis连接成功！
2020-04-08 11:41:44 [INF] handler.go:22 | 任务处理线程池创建成功，最大goroutine数量：10, 任务超时时间：3E+01秒
2020-04-08 11:47:39 [INF] canalMain.go:45 | Canal连接成功，开始监听binlog...
